Date,Symbol,Open,High,Low,Close,VWAP,Volume,Turnover
03-01-2000,ITC,694,708.5,675,708.5,701.81,562715,3.94917E+13
04-01-2000,ITC,714,729,694.3,712.35,714.16,712637,5.08938E+13
05-01-2000,ITC,716.25,758.9,660,726.2,732.43,1382149,1.01232E+14
06-01-2000,ITC,741,784.3,741,784.3,776.63,721618,5.60427E+13
07-01-2000,ITC,832.4,847.05,824,847.05,841.25,231209,1.94505E+13
10-01-2000,ITC,911.15,914.85,875,914.85,907.23,1219818,1.10665E+14
11-01-2000,ITC,902,952,866.1,883.7,908.61,2376154,2.15901E+14
12-01-2000,ITC,905,924,870.3,888.35,891.48,616366,5.49475E+13
13-01-2000,ITC,900,936,871,879.75,908.42,667073,6.05984E+13
14-01-2000,ITC,879.9,903.7,863.2,887.55,883.15,575381,5.08147E+13
17-01-2000,ITC,904.95,904.95,816.55,817.35,839.35,1763903,1.48053E+14
18-01-2000,ITC,806,830,796,821.35,816.85,807421,6.59546E+13
19-01-2000,ITC,830,848,801,826.1,832.91,426440,3.55184E+13
20-01-2000,ITC,830,830,778.7,786.1,798.47,485044,3.87295E+13
21-01-2000,ITC,785,845.9,785,831.55,825.3,1200922,9.91124E+13
24-01-2000,ITC,836,858,782.5,792.45,831.41,1546995,1.28618E+14
25-01-2000,ITC,780,780,729.05,729.55,735.14,1241015,9.1232E+13
27-01-2000,ITC,751,787.95,680,778.85,757.15,1868015,1.41436E+14
28-01-2000,ITC,767,767,716.55,719.2,738.09,1276603,9.42252E+13
31-01-2000,ITC,711,728,685,692.2,706.22,993321,7.01502E+13
01-02-2000,ITC,697,721.75,691,701.55,707.4,1154968,8.17022E+13
02-02-2000,ITC,720,732.7,712,714.05,722.27,600607,4.338E+13
03-02-2000,ITC,721,726,705,709.1,715.57,357056,2.555E+13
04-02-2000,ITC,713,719.8,691,695.5,703.28,438192,3.08171E+13
07-02-2000,ITC,708.5,751.15,708.5,747.3,741.06,967422,7.16916E+13
08-02-2000,ITC,761.1,798,756,763.25,775.9,969144,7.51963E+13
09-02-2000,ITC,784.4,824.35,772,824.35,816.02,677696,5.53016E+13
10-02-2000,ITC,890.3,890.3,890.3,890.3,890.3,20323,1.80936E+12
11-02-2000,ITC,961.55,961.55,961.55,961.55,961.55,43319,4.16534E+12
14-02-2000,ITC,998.4,1037,902,932.55,949.03,1122348,1.06515E+14
15-02-2000,ITC,925,1007.15,910,1006.5,984.91,1468348,1.4462E+14
